day,month,date_str,month_name,anniversary_score,years_in_block,avg_block_length,coverage_percent,efficiency_ratio,score_details
7,5,07/05,May,29,7,20.285714285714285,14.000000000000002,14.499999999999998,"{'in_block': 7, 'one_day_away': 0, 'two_days_away': 1, 'other': 42}"
7,1,07/01,January,28,7,23.0,14.000000000000002,14.000000000000002,"{'in_block': 7, 'one_day_away': 0, 'two_days_away': 0, 'other': 43}"
21,4,21/04,April,28,0,0.0,0.0,14.000000000000002,"{'in_block': 0, 'one_day_away': 7, 'two_days_away': 14, 'other': 29}"
5,9,05/09,September,28,7,25.428571428571427,14.000000000000002,14.000000000000002,"{'in_block': 7, 'one_day_away': 0, 'two_days_away': 0, 'other': 43}"
17,5,17/05,May,27,0,0.0,0.0,13.5,"{'in_block': 0, 'one_day_away': 6, 'two_days_away': 15, 'other': 29}"
27,10,27/10,October,27,0,0.0,0.0,13.5,"{'in_block': 0, 'one_day_away': 7, 'two_days_away': 13, 'other': 30}"
25,5,25/05,May,24,6,23.0,12.0,12.0,"{'in_block': 6, 'one_day_away': 0, 'two_days_away': 0, 'other': 44}"
27,8,27/08,August,15,2,23.0,4.0,7.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 7, 'other': 41}"
8,12,08/12,December,15,3,21.0,6.0,7.5,"{'in_block': 3, 'one_day_away': 1, 'two_days_away': 1, 'other': 45}"
6,11,06/11,November,14,3,23.666666666666668,6.0,7.000000000000001,"{'in_block': 3, 'one_day_away': 1, 'two_days_away': 0, 'other': 46}"
22,11,22/11,November,14,3,23.333333333333332,6.0,7.000000000000001,"{'in_block': 3, 'one_day_away': 1, 'two_days_away': 0, 'other': 46}"
24,12,24/12,December,14,3,23.0,6.0,7.000000000000001,"{'in_block': 3, 'one_day_away': 1, 'two_days_away': 0, 'other': 46}"
12,7,12/07,July,12,1,27.0,2.0,6.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 8, 'other': 41}"
13,10,13/10,October,12,3,25.0,6.0,6.0,"{'in_block': 3, 'one_day_away': 0, 'two_days_away': 0, 'other': 47}"
7,11,07/11,November,12,3,24.333333333333332,6.0,6.0,"{'in_block': 3, 'one_day_away': 0, 'two_days_away': 0, 'other': 47}"
30,11,30/11,November,12,2,26.0,4.0,6.0,"{'in_block': 2, 'one_day_away': 2, 'two_days_away': 0, 'other': 46}"
1,12,01/12,December,12,3,22.0,6.0,6.0,"{'in_block': 3, 'one_day_away': 0, 'two_days_away': 0, 'other': 47}"
25,12,25/12,December,12,3,21.333333333333332,6.0,6.0,"{'in_block': 3, 'one_day_away': 0, 'two_days_away': 0, 'other': 47}"
26,10,26/10,October,11,1,28.0,2.0,5.5,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 7, 'other': 42}"
5,11,05/11,November,11,2,24.5,4.0,5.5,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 1, 'other': 46}"
21,11,21/11,November,11,2,23.0,4.0,5.5,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 1, 'other': 46}"
23,12,23/12,December,11,2,23.0,4.0,5.5,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 1, 'other': 46}"
16,5,16/05,May,10,1,29.0,2.0,5.0,"{'in_block': 1, 'one_day_away': 0, 'two_days_away': 6, 'other': 43}"
26,7,26/07,July,10,2,24.0,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
28,9,28/09,September,10,2,27.0,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
6,10,06/10,October,10,2,26.0,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
21,10,21/10,October,10,2,24.0,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
9,12,09/12,December,10,2,21.0,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
17,12,17/12,December,10,2,23.5,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
30,12,30/12,December,10,2,22.5,4.0,5.0,"{'in_block': 2, 'one_day_away': 1, 'two_days_away': 0, 'other': 47}"
24,9,24/09,September,9,2,26.5,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
4,10,04/10,October,9,2,25.5,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
22,10,22/10,October,9,2,23.0,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
19,11,19/11,November,9,2,23.0,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
20,11,20/11,November,9,2,23.0,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
28,11,28/11,November,9,2,24.0,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
16,12,16/12,December,9,1,22.0,2.0,4.5,"{'in_block': 1, 'one_day_away': 2, 'two_days_away': 1, 'other': 46}"
29,12,29/12,December,9,2,22.5,4.0,4.5,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 1, 'other': 47}"
3,7,03/07,July,8,2,21.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
11,7,11/07,July,8,2,28.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
27,7,27/07,July,8,2,26.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
3,8,03/08,August,8,2,26.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
11,8,11/08,August,8,2,26.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
19,8,19/08,August,8,2,24.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
12,9,12/09,September,8,2,27.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
22,9,22/09,September,8,2,26.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
23,9,23/09,September,8,2,26.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
2,10,02/10,October,8,2,25.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
3,10,03/10,October,8,2,25.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
7,10,07/10,October,8,2,25.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
14,10,14/10,October,8,2,24.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
15,10,15/10,October,8,2,24.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
24,10,24/10,October,8,2,25.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
25,10,25/10,October,8,2,25.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
8,11,08/11,November,8,2,22.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
14,11,14/11,November,8,2,24.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
15,11,15/11,November,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
16,11,16/11,November,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
17,11,17/11,November,8,2,23.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
23,11,23/11,November,8,2,24.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
26,11,26/11,November,8,2,24.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
27,11,27/11,November,8,2,24.0,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
2,12,02/12,December,8,2,22.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
3,12,03/12,December,8,2,22.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
10,12,10/12,December,8,2,20.5,4.0,4.0,"{'in_block': 2, 'one_day_away': 0, 'two_days_away': 0, 'other': 48}"
